FeatureName,Region,NGR,East,North,Lat,Long,LatLong,TreatmentOfRemains,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfFindsWithinDeposit,ArtefactsInDepositList,SexSingleDeposits,AgeSingleDeposits,ArtefactsSingleDeposits,SexGroupDeposits,AgeGroupDeposits,ArtefactsGroupDeposits,SitesWithUnknownSex,TerminusPostQuemBC,TerminusAnteQuemBC,MedianBC,DecadeOfExcavation,generated
Copt Hill cist 2,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",N/a,1,N/a,N/a,,N/a,N/a,,,,,N/a,,,,1870,79
Copt Hill cremation deposit 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,N/a,Indet.,Indet.,Flint flakes,,,,,,,Indet.,2000,,2000,1870,80
Copt Hill cremation deposit 2,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2000,,2000,1870,81
Copt Hill cremation deposit 3,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2000,,2000,1870,82
Copt Hill grave 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Uncremated remains,1,Indet.,Indet.,Flint scraper,Indet.,Indet.,Flint scraper,,,,Indet.,2150,1700,1925,1870,83
Copt Hill grave 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2150,1700,1925,1870,84
Copt Hill grave 2,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Possible Male,Adult,,Possible Male,Adult,,,,,,2150,1700,1925,1870,85
Copt Hill grave 3,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Indet.,Indet.,Food Vessel,Indet.,Indet.,Food Vessel,,,,Indet.,2150,1700,1925,1870,86
Copt Hill urned cremation deposit,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,N/a,Indet.,Indet.,Food Vessel,,,,,,,Indet.,2000,1700,1850,1870,87
Corby's Crags rock shelter feature 1,Northumberland,NU12800965,412800,609650,55.380661,-1.7995406,"55.380661,-1.7995406",Cremation,Indet.,Indet.,Indet.,Food Vessel,,,,,,,Indet.,2000,1700,1850,1970,88
Crag Hall cist 1,Northumberland,NZ2567,425000,567000,54.996956,-1.6107558,"54.996956,-1.6107558",Cremation,Indet.,Indet.,Indet.,Urn,,,,,,,Indet.,2150,1750,1950,1840,89
Crag Hall cist 1,Northumberland,NZ2567,425000,567000,54.996956,-1.6107558,"54.996956,-1.6107558",Cremation,Indet.,Indet.,Indet.,Urn,,,,,,,Indet.,2150,1750,1950,1840,90
Crag Hall cist 2,Northumberland,NZ2567,425000,567000,54.996956,-1.6107558,"54.996956,-1.6107558",Cremation,Indet.,Indet.,Indet.,Urn,,,,,,,Indet.,2150,1750,1950,1840,91
Crag Hall cist 2,Northumberland,NZ2567,425000,567000,54.996956,-1.6107558,"54.996956,-1.6107558",Cremation,Indet.,Indet.,Indet.,Urn,,,,,,,Indet.,2150,1750,1950,1840,92
Crawley Edge cremation deposit,County Durham,NZ00093979,400090,539790,54.753059,-2.0001237,"54.753059,-2.0001237",Cremation,Indet.,Indet.,Indet.,"Collared urn,Lead ore",,,,,,,Indet.,2000,1550,1775,1970,93
Debdon Farm cairn 1 cist 1,Northumberland,NU0504 ,405000,604000,55.330032,-1.9227385,"55.330032,-1.9227385",Uncremated remains,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2300,1750,2025,1877,94
Debdon Farm cairn 1 cremation deposit,Northumberland,NU0504 ,405000,604000,55.330032,-1.9227385,"55.330032,-1.9227385",Cremation,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000,,2000,1877,95
Debdon Farm cairn 2 pit,Northumberland,NU0504 ,405000,604000,55.330032,-1.9227385,"55.330032,-1.9227385",Cremation,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000,,2000,1877,96
Denton cist,Northumberland,NZ1965,419000,565000,54.979247,-1.7046725,"54.979247,-1.7046725",Uncremated remains,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2150,1750,1950,1822,97
Dilston Park cist A,Northumberland,NY9663,396000,563000,54.961616,-2.0640005,"54.961616,-2.0640005",Inhumation and Cremation,N/a,N/a,Adult,Beaker,,,,,,,N/a,2300,2100,2200,1900,98
Dilston Park cist B,Northumberland,NY9663,396000,563000,54.961616,-2.0640005,"54.961616,-2.0640005",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2300,2100,2200,1900,99
Doddington cist,Northumberland,NU005310,400500,631000,55.572664,-1.9936295,"55.572664,-1.9936295",Crouched burial,1,Possible Male,Adult,"Food Vessel,Flint knife,Stitched hide,Flint flakes",Possible Male,Adult,"Food Vessel, Flint knife, Stitched hide, Flint flakes",,,,,2150,1750,1950,1860,100
Dour Hill cist,Northumberland,NT794021,379400,602100,55.312548,-2.3260991,"55.312548,-2.3260991",Uncremated remains,1,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150,1950,2050,1970,101
Dour Hill cist,Northumberland,NT794021,379400,602100,55.312548,-2.3260991,"55.312548,-2.3260991",Uncremated remains,1,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150,1750,1950,1970,102
Elsnook cist,Northumberland,NU183187,418300,618700,55.461806,-1.7121504,"55.461806,-1.7121504",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2200,2000,2100,1920,103
Etal Moor barrow Beaker find,Northumberland,NT9640,396000,640000,55.653514,-2.0651289,"55.653514,-2.0651289",N/a,N/a,N/a,N/a,Beaker,,,,,,,N/a,2200,1850,2025,1860,104
Etal Moor barrow cist (Kinnes and Longworth burial 5),Northumberland,NT9640,396000,640000,55.653514,-2.0651289,"55.653514,-2.0651289",Cremation,1,N/a,Adult,,N/a,Adult,,,,,N/a,2100,1750,1925,1860,105
Etal Moor barrow cremation deposit ,Northumberland,NT9640,396000,640000,55.653514,-2.0651289,"55.653514,-2.0651289",Cremation,N/a,N/a,N/a,Urn,,,,,,,N/a,2000,1500,1750,1860,106
